year,state,party,candidatevotes,totalvotes
1984,Connecticut,,226,1466900
1984,Delaware,republican,152190,254572
1984,Delaware,democrat,101656,254572
1984,Delaware,american,269,254572
1984,Delaware,libertarian,268,254572
1984,Delaware,citizens,121,254572
1984,Delaware,alliance,68,254572
1984,District of Columbia,democrat,180408,211288
1984,District of Columbia,republican,29009,211288
1984,District of Columbia,,809,211288
1984,District of Columbia,libertarian,279,211288
1984,District of Columbia,communist party use,257,211288
1984,District of Columbia,alliance,165,211288
1984,District of Columbia,independent,127,211288
1984,District of Columbia,socialist workers,127,211288
1984,District of Columbia,workers world,107,211288
1984,Florida,republican,2730350,4180051
1984,Florida,democrat,1448816,4180051
1984,Florida,,885,4180051
1984,Georgia,republican,1068722,1776103
1984,Georgia,democrat,706628,1776103
1984,Georgia,,753,1776103
1984,Hawaii,republican,185050,335846
1984,Hawaii,democrat,147154,335846
1984,Hawaii,libertarian,2167,335846
1984,Hawaii,communist party use,821,335846
1984,Hawaii,independent,654,335846
1984,Idaho,republican,297523,411144
1984,Idaho,democrat,108510,411144
1984,Idaho,libertarian,2823,411144
1984,Idaho,populist,2288,411144
1984,Illinois,republican,2707103,4819088
1984,Illinois,democrat,2086499,4819088
1984,Illinois,libertarian,10086,4819088
1984,Illinois,communist party use,4672,4819088
1984,Illinois,citizens,2716,4819088
1984,Illinois,workers league,2632,4819088
1984,Illinois,alliance,2386,4819088
1984,Illinois,socialist workers,2132,4819088
1984,Illinois,,862,4819088
1984,Indiana,republican,1377230,2233069
1984,Indiana,democrat,841481,2233069
1984,Indiana,american,7617,2233069
1984,Indiana,libertarian,6741,2233069
1984,Iowa,republican,703088,1319805
1984,Iowa,democrat,605620,1319805
1984,Iowa,independent,6248,1319805
1984,Iowa,libertarian,1844,1319805
1984,Iowa,,1051,1319805
1984,Iowa,big deal party,892,1319805
1984,Iowa,alliance,463,1319805
1984,Iowa,socialist workers,313,1319805
1984,Iowa,communist party use,286,1319805
1984,Kansas,republican,677296,1021991
1984,Kansas,democrat,333149,1021991
1984,Kansas,populist,3564,1021991
1984,Kansas,libertarian,3329,1021991
1984,Kansas,alliance,2544,1021991
1984,Kansas,prohibition,2109,1021991
1984,Kentucky,republican,821702,1369345
1984,Kentucky,democrat,539539,1369345
1984,Kentucky,socialist workers,3129,1369345
1984,Kentucky,independent,1776,1369345
1984,Kentucky,national unity,1479,1369345
1984,Kentucky,citizens,599,1369345
1984,Kentucky,american,428,1369345
1984,Kentucky,alliance,365,1369345
1984,Kentucky,communist party use,328,1369345
1984,Louisiana,republican,1037299,1706822
1984,Louisiana,democrat,651586,1706822
1984,Louisiana,citizens,9502,1706822
1984,Louisiana,independent,3552,1706822
1984,Louisiana,libertarian,1876,1706822
1984,Louisiana,populist,1310,1706822
1984,Louisiana,socialist workers,1164,1706822
1984,Louisiana,alliance,533,1706822
1984,Maine,republican,336500,553144
1984,Maine,democrat,214515,553144
1984,Maine,communist party use,1292,553144
1984,Maine,alliance,755,553144
1984,Maine,,82,553144
1984,Maryland,republican,879918,1675873
1984,Maryland,democrat,787935,1675873
1984,Maryland,libertarian,5721,1675873
1984,Maryland,communist party use,898,1675873
1984,Maryland,workers world,745,1675873
1984,Maryland,alliance,656,1675873
1984,Massachusetts,republican,1310936,2559383
1984,Massachusetts,democrat,1239606,2559383
1984,Massachusetts,alliance,7998,2559383
1984,Massachusetts,,843,2559383
1984,Michigan,republican,2251571,3801658
1984,Michigan,democrat,1529638,3801658
1984,Michigan,libertarian,10055,3801658
1984,Michigan,independent,3862,3801658
1984,Michigan,workers world,1416,3801658
1984,Michigan,citizens,1191,3801658
1984,Michigan,socialist workers,1049,3801658
1984,Michigan,communist party use,1048,3801658
1984,Michigan,alliance,665,3801658
1984,Michigan,,602,3801658
1984,Michigan,workers league,561,3801658
1984,Minnesota,democrat,1036364,2084449
1984,Minnesota,republican,1032603,2084449
1984,Minnesota,independent,3865,2084449
1984,Minnesota,socialist workers,3180,2084449
1984,Minnesota,libertarian,2996,2084449
1984,Minnesota,populist,2377,2084449
1984,Minnesota,citizens,1219,2084449
1984,Minnesota,,723,2084449
1984,Minnesota,communist party use,630,2084449
1984,Minnesota,workers league,260,2084449
1984,Minnesota,alliance,232,2084449
1984,Mississippi,republican,582377,941104
1984,Mississippi,democrat,352192,941104
1984,Mississippi,libertarian,2336,941104
1984,Mississippi,workers world,1169,941104
1984,Mississippi,socialist workers,1032,941104
1984,Mississippi,independent,1001,941104
1984,Mississippi,populist,641,941104
1984,Mississippi,alliance,356,941104
1984,Missouri,republican,1274188,2122771
1984,Missouri,democrat,848583,2122771
1984,Montana,republican,232450,384377
1984,Montana,democrat,146742,384377
1984,Montana,libertarian,5185,384377
1984,Nebraska,republican,460054,652090
1984,Nebraska,democrat,187866,652090
1984,Nebraska,libertarian,2079,652090
1984,Nebraska,socialist workers,1066,652090
1984,Nebraska,alliance,1025,652090
1984,Nevada,republican,188770,282717
1984,Nevada,democrat,91655,282717
1984,Nevada,libertarian,2292,282717
1984,New Hampshire,republican,267050,388904
1984,New Hampshire,democrat,120347,388904
1984,New Hampshire,libertarian,735,388904
1984,New Hampshire,independent,467,388904
1984,New Hampshire,alliance,305,388904
1984,New Jersey,republican,1933630,3217862
1984,New Jersey,democrat,1261323,3217862
1984,New Jersey,workers world,8404,3217862
1984,New Jersey,libertarian,6416,3217862
1984,New Jersey,alliance,2293,3217862
1984,New Jersey,workers league,1721,3217862
1984,New Jersey,communist party use,1564,3217862
1984,New Jersey,socialist workers,1264,3217862
1984,New Jersey,citizens,1247,3217862
1984,New Mexico,republican,307101,514370
1984,New Mexico,democrat,201769,514370
1984,New Mexico,libertarian,4459,514370
1984,New Mexico,citizens,455,514370
1984,New Mexico,socialist workers,224,514370
1984,New Mexico,prohibition,206,514370
1984,New Mexico,alliance,155,514370
1984,New Mexico,,1,514370
1984,New York,republican,3376519,6806810
1984,New York,democrat,3001285,6806810
1984,New York,conservative,288244,6806810
1984,New York,liberal party,118324,6806810
1984,New York,libertarian,11949,6806810
1984,New York,communist party use,4226,6806810
1984,New York,alliance,3200,6806810
1984,New York,workers world,2226,6806810
1984,New York,,837,6806810
1984,North Carolina,republican,1346481,2175361
1984,North Carolina,democrat,824287,2175361
1984,North Carolina,libertarian,3794,2175361
1984,North Carolina,socialist workers,799,2175361
1984,North Dakota,republican,200336,308971
1984,North Dakota,democrat,104429,308971
1984,North Dakota,independent,1278,308971
1984,North Dakota,populist,1077,308971
1984,North Dakota,libertarian,703,308971
1984,North Dakota,citizens,368,308971
1984,North Dakota,socialist workers,239,308971
1984,North Dakota,prohibition,220,308971
1984,North Dakota,communist party use,169,308971
1984,North Dakota,alliance,152,308971
1984,Ohio,republican,2678559,4563235
1984,Ohio,democrat,1825440,4563235
1984,Ohio,alliance,24180,4563235
1984,Ohio,independent,10693,4563235
1984,Ohio,workers league,7130,4563235
1984,Ohio,libertarian,5886,4563235
1984,Ohio,communist party use,4438,4563235
1984,Ohio,socialist workers,4344,4563235
1984,Ohio,workers world,2565,4563235
1984,Oklahoma,republican,861530,1255676
1984,Oklahoma,democrat,385080,1255676
1984,Oklahoma,libertarian,9066,1255676
1984,Oregon,republican,685700,1226527
1984,Oregon,democrat,536479,1226527
1984,Oregon,,4348,1226527
1984,Pennsylvania,republican,2584323,4844903
1984,Pennsylvania,democrat,2228131,4844903
1984,Pennsylvania,citizens,21628,4844903
1984,Pennsylvania,libertarian,6982,4844903
1984,Pennsylvania,workers league,2059,4844903
1984,Pennsylvania,communist party use,1780,4844903
1984,Rhode Island,republican,212080,410489
1984,Rhode Island,democrat,197106,410489
1984,Rhode Island,populist,510,410489
1984,Rhode Island,libertarian,277,410489
1984,Rhode Island,citizens,240,410489
1984,Rhode Island,workers world,91,410489
1984,Rhode Island,communist party use,75,410489
1984,Rhode Island,socialist workers,61,410489
1984,Rhode Island,alliance,49,410489
1984,South Carolina,republican,615539,968529
1984,South Carolina,democrat,344459,968529
1984,South Carolina,libertarian,4359,968529
1984,South Carolina,american,3490,968529
1984,South Carolina,alliance,682,968529
1984,South Dakota,republican,200267,317867
1984,South Dakota,democrat,116113,317867
1984,South Dakota,alliance,1150,317867
1984,South Dakota,socialist workers,337,317867
1984,Tennessee,republican,990212,1711993
1984,Tennessee,democrat,711714,1711993
1984,Tennessee,libertarian,3072,1711993
1984,Tennessee,independent,1852,1711993
1984,Tennessee,populist,1763,1711993
1984,Tennessee,communist party use,1036,1711993
1984,Tennessee,citizens,978,1711993
1984,Tennessee,socialist workers,715,1711993
1984,Tennessee,alliance,524,1711993
1984,Tennessee,,127,1711993
1984,Texas,republican,3433428,5397571
1984,Texas,democrat,1949276,5397571
1984,Texas,independent,14613,5397571
1984,Texas,,254,5397571
1984,Utah,republican,469105,629656
1984,Utah,democrat,155369,629656
1984,Utah,libertarian,2447,629656
1984,Utah,american,1345,629656
1984,Utah,citizens,844,629656
1984,Utah,alliance,220,629656
1984,Utah,communist party use,184,629656
1984,Utah,socialist workers,142,629656
1984,Vermont,republican,135865,234561
1984,Vermont,democrat,95730,234561
1984,Vermont,libertarian,1002,234561
1984,Vermont,,712,234561
1984,Vermont,independent,423,234561
1984,Vermont,alliance,323,234561
1984,Vermont,citizens,264,234561
1984,Vermont,socialist workers,127,234561
1984,Vermont,communist party use,115,234561
1984,Virginia,republican,1337078,2146635
1984,Virginia,democrat,796250,2146635
1984,Virginia,independent,13307,2146635
1984,Washington,republican,1051670,1874910
1984,Washington,democrat,798352,1874910
1984,Washington,libertarian,8844,1874910
1984,Washington,populist,5724,1874910
1984,Washington,independent,4712,1874910
1984,Washington,citizens,1891,1874910
1984,Washington,alliance,1654,1874910
1984,Washington,communist party use,814,1874910
1984,Washington,workers world,641,1874910
1984,Washington,socialist workers,608,1874910
1984,West Virginia,republican,405483,735742
1984,West Virginia,democrat,328125,735742
1984,West Virginia,populist,996,735742
1984,West Virginia,socialist workers,645,735742
1984,West Virginia,alliance,493,735742
1984,Wisconsin,republican,1198584,2211689
1984,Wisconsin,democrat,995740,2211689
1984,Wisconsin,libertarian,4883,2211689
1984,Wisconsin,populist,3864,2211689
1984,Wisconsin,independent,3791,2211689
1984,Wisconsin,citizens,1456,2211689
1984,Wisconsin,alliance,1006,2211689
1984,Wisconsin,,706,2211689
1984,Wisconsin,workers world,619,2211689
1984,Wisconsin,communist party use,596,2211689
1984,Wisconsin,socialist workers,444,2211689
1984,Wyoming,republican,133241,188968
1984,Wyoming,democrat,53370,188968
1984,Wyoming,libertarian,2357,188968
1988,Alabama,republican,815576,1378476
1988,Alabama,democrat,549506,1378476
1988,Alabama,libertarian,8460,1378476
1988,Alabama,independent,4428,1378476
1988,Alabama,,506,1378476
1988,Alaska,republican,119251,200116
1988,Alaska,democrat,72584,200116
1988,Alaska,libertarian,5484,200116
1988,Alaska,new alliance,1024,200116
1988,Alaska,,957,200116
1988,Alaska,national economic recovery,816,200116
1988,Arizona,republican,702541,1171873
1988,Arizona,democrat,454029,1171873
1988,Arizona,libertarian,13351,1171873
1988,Arizona,new alliance,1662,1171873
1988,Arizona,,290,1171873
1988,Arkansas,republican,466578,827738
1988,Arkansas,democrat,349237,827738
1988,Arkansas,populist,5146,827738
1988,Arkansas,libertarian,3297,827738
1988,Arkansas,new alliance,2161,827738
1988,Arkansas,prohibition,1319,827738
1988,California,republican,5054917,9887065
1988,California,democrat,4702233,9887065
1988,California,libertarian,70105,9887065
1988,California,independent,58999,9887065
1988,California,,811,9887065
1988,Colorado,republican,728177,1372394
1988,Colorado,democrat,621453,1372394
1988,Colorado,libertarian,15482,1372394
1988,Colorado,prohibition,4604,1372394
1988,Colorado,new alliance,2539,1372394
1988,Colorado,,139,1372394
1988,Connecticut,republican,750241,1443394
1988,Connecticut,democrat,676584,1443394
1988,Connecticut,libertarian,14071,1443394
1988,Connecticut,new alliance,2491,1443394
1988,Connecticut,,7,1443394
1988,Delaware,republican,139639,249891
1988,Delaware,democrat,108647,249891
1988,Delaware,libertarian,1162,249891
1988,Delaware,new alliance,443,249891
1988,District of Columbia,democrat,159407,192877
1988,District of Columbia,republican,27590,192877
1988,District of Columbia,independent,3064,192877
1988,District of Columbia,,1553,192877
1988,District of Columbia,libertarian,554,192877
1988,District of Columbia,third world assembly,236,192877
1988,District of Columbia,workers league,208,192877
1988,District of Columbia,socialist,142,192877
1988,District of Columbia,socialist workers,123,192877
1988,Florida,republican,2618885,4302313
1988,Florida,democrat,1656701,4302313
1988,Florida,libertarian,19796,4302313
1988,Florida,new alliance,6655,4302313
1988,Florida,,276,4302313
1988,Georgia,republican,1081331,1809672
1988,Georgia,democrat,714792,1809672
1988,Georgia,libertarian,8435,1809672
1988,Georgia,new alliance,5099,1809672
1988,Georgia,,15,1809672
1988,Hawaii,democrat,192364,354461
1988,Hawaii,republican,158625,354461
1988,Hawaii,libertarian,1999,354461
1988,Hawaii,no party affiliation,1003,354461
1988,Hawaii,national economic recovery,470,354461
1988,Idaho,republican,253881,408968
1988,Idaho,democrat,147272,408968
1988,Idaho,libertarian,5313,408968
1988,Idaho,independent,2502,408968
1988,Illinois,republican,2310939,4559120
1988,Illinois,democrat,2215940,4559120
1988,Illinois,libertarian,14944,4559120
1988,Illinois,solidarity,10276,4559120
1988,Illinois,independent,7021,4559120
1988,Indiana,republican,1297763,2168621
1988,Indiana,democrat,860643,2168621
1988,Indiana,new alliance,10215,2168621
1988,Iowa,democrat,670557,1225614
1988,Iowa,republican,545355,1225614
1988,Iowa,nominated by petition,3526,1225614
1988,Iowa,libertarian,2494,1225614
1988,Iowa,,1613,1225614
1988,Iowa,patriotic party,755,1225614
1988,Iowa,new alliance,540,1225614
1988,Iowa,socialist,334,1225614
1988,Iowa,workers league,235,1225614
1988,Iowa,socialist workers,205,1225614
1988,Kansas,republican,554049,993044
1988,Kansas,democrat,422636,993044
1988,Kansas,independent,16359,993044
1988,Kentucky,republican,734281,1322517
1988,Kentucky,democrat,580368,1322517
1988,Kentucky,populist,4494,1322517
1988,Kentucky,libertarian,2118,1322517
1988,Kentucky,new alliance,1256,1322517
1988,Louisiana,republican,883702,1628202
1988,Louisiana,democrat,717460,1628202
1988,Louisiana,populist,18612,1628202
1988,Louisiana,libertarian,4115,1628202
1988,Louisiana,new alliance,2355,1628202
1988,Louisiana,national economic recovery,1958,1628202
1988,Maine,republican,307131,555035
1988,Maine,democrat,243569,555035
1988,Maine,libertarian,2700,555035
1988,Maine,new alliance,1405,555035
1988,Maine,other,230,555035
1988,Maryland,republican,876167,1714358
1988,Maryland,democrat,826304,1714358
1988,Maryland,libertarian,6748,1714358
1988,Maryland,new alliance,5115,1714358
1988,Maryland,,24,1714358
1988,Massachusetts,democrat,1401415,2632801
1988,Massachusetts,republican,1194635,2632801
1988,Massachusetts,libertarian,24251,2632801
1988,Massachusetts,new alliance,9561,2632801
1988,Massachusetts,other,2939,2632801
1988,Michigan,republican,1965486,3669163
1988,Michigan,democrat,1675783,3669163
1988,Michigan,libertarian,18336,3669163
1988,Michigan,other,7600,3669163
1988,Michigan,workers league,1958,3669163
1988,Minnesota,democrat,1109471,2096790
1988,Minnesota,republican,962337,2096790
1988,Minnesota,progressive,5403,2096790
1988,Minnesota,libertarian,5109,2096790
1988,Minnesota,,3614,2096790
1988,Minnesota,socialist workers,2155,2096790
1988,Minnesota,grassroots,1949,2096790
1988,Minnesota,new alliance,1734,2096790
1988,Minnesota,national economic recovery,1702,2096790
1988,Minnesota,populist,1529,2096790
1988,Minnesota,american,1298,2096790
1988,Minnesota,workers league,489,2096790
1988,Mississippi,republican,557890,931527
1988,Mississippi,democrat,363921,931527
1988,Mississippi,independent,6387,931527
1988,Mississippi,libertarian,3329,931527
1988,Missouri,republican,1084953,2093228
1988,Missouri,democrat,1001619,2093228
1988,Missouri,new alliance,6656,2093228
1988,Montana,republican,190412,365674
1988,Montana,democrat,168936,365674
1988,Montana,libertarian,5047,365674
1988,Montana,new alliance,1279,365674
1988,Nebraska,republican,397956,661465
1988,Nebraska,democrat,259235,661465
1988,Nebraska,libertarian,2534,661465
1988,Nebraska,new alliance,1740,661465
1988,Nevada,republican,206040,343133
1988,Nevada,democrat,132738,343133
1988,Nevada,libertarian,3520,343133
1988,Nevada,new alliance,835,343133
1988,New Hampshire,republican,281537,450525
1988,New Hampshire,democrat,163696,450525
1988,New Hampshire,libertarian,4502,450525
1988,New Hampshire,new alliance,790,450525
1988,New Jersey,republican,1743192,3099553
1988,New Jersey,democrat,1320352,3099553
1988,New Jersey,peace & freedom,9953,3099553
1988,New Jersey,libertarian,8421,3099553
1988,New Jersey,new alliance,5139,3099553
1988,New Jersey,consumer,3454,3099553
1988,New Jersey,socialist,2587,3099553
1988,New Jersey,populist,2446,3099553
1988,New Jersey,socialist workers,2298,3099553
1988,New Jersey,workers world,1020,3099553
1988,New Jersey,workers league,691,3099553
1988,New Mexico,republican,270341,521387
1988,New Mexico,democrat,244497,521387
1988,New Mexico,libertarian,3368,521387
1988,New Mexico,new alliance,2237,521387
1988,New Mexico,socialist workers,344,521387
1988,New Mexico,workers world,258,521387
1988,New Mexico,prohibition,249,521387
1988,New Mexico,write-in,93,521387
1988,New York,democrat,3255487,6485683
1988,New York,republican,2838414,6485683
1988,New York,conservative,243457,6485683
1988,New York,liberal party,92395,6485683
1988,New York,right-to-life,20497,6485683
1988,New York,new alliance,15845,6485683
1988,New York,libertarian,12109,6485683
1988,New York,workers world,4179,6485683
1988,New York,socialist workers,3287,6485683
1988,New York,other,13,6485683
1988,North Carolina,republican,1237258,2134370
1988,North Carolina,democrat,890167,2134370
1988,North Carolina,new alliance,5682,2134370
1988,North Carolina,,1263,2134370
1988,North Dakota,republican,166559,297261
1988,North Dakota,democrat,127739,297261
1988,North Dakota,libertarian,1315,297261
1988,North Dakota,national economic recovery,905,297261
1988,North Dakota,new alliance,396,297261
1988,North Dakota,socialist workers,347,297261
1988,Ohio,republican,2416549,4393585
1988,Ohio,democrat,1939629,4393585
1988,Ohio,new alliance,12017,4393585
1988,Ohio,libertarian,11926,4393585
1988,Ohio,independent,7713,4393585
1988,Ohio,workers league,5401,4393585
1988,Ohio,,350,4393585
1988,Oklahoma,republican,678367,1171036
1988,Oklahoma,democrat,483423,1171036
1988,Oklahoma,libertarian,6261,1171036
1988,Oklahoma,new alliance,2985,1171036
1988,Oregon,democrat,616206,1201694
1988,Oregon,republican,560126,1201694
1988,Oregon,libertarian,14811,1201694
1988,Oregon,independent,6487,1201694
1988,Oregon,other,4064,1201694
1988,Pennsylvania,republican,2300087,4536251
1988,Pennsylvania,democrat,2194944,4536251
1988,Pennsylvania,consumer,19158,4536251
1988,Pennsylvania,libertarian,12051,4536251
1988,Pennsylvania,new alliance,4379,4536251
1988,Pennsylvania,populist,3444,4536251
1988,Pennsylvania,workers league,2188,4536251
1988,Rhode Island,democrat,225123,404622
1988,Rhode Island,republican,177761,404622
1988,Rhode Island,libertarian,825,404622
1988,Rhode Island,new alliance,280,404622
1988,Rhode Island,peace & freedom,195,404622
1988,Rhode Island,populist,159,404622
1988,Rhode Island,socialist workers,130,404622
1988,Rhode Island,socialist,96,404622
1988,Rhode Island,,53,404622
1988,South Carolina,republican,606443,986009
1988,South Carolina,democrat,370554,986009
1988,South Carolina,libertarian,4935,986009
1988,South Carolina,united citizens,4077,986009
1988,South Dakota,republican,165415,312991
1988,South Dakota,democrat,145560,312991
1988,South Dakota,independent,2016,312991
1988,Tennessee,republican,947233,1636250
1988,Tennessee,democrat,679794,1636250
1988,Tennessee,independent,8938,1636250
1988,Tennessee,,285,1636250
1988,Texas,republican,3036829,5427410
1988,Texas,democrat,2352748,5427410
1988,Texas,libertarian,30355,5427410
1988,Texas,new alliance,7208,5427410
1988,Texas,,270,5427410
1988,Utah,republican,428442,647008
1988,Utah,democrat,207343,647008
1988,Utah,libertarian,7473,647008
1988,Utah,american,2158,647008
1988,Utah,new alliance,455,647008
1988,Utah,national economic recovery,427,647008
1988,Utah,independent,372,647008
1988,Utah,socialist workers,209,647008
1988,Utah,socialist,129,647008
1988,Vermont,republican,124331,243328
1988,Vermont,democrat,115775,243328
1988,Vermont,,1134,243328
1988,Vermont,libertarian,1000,243328
1988,Vermont,independent,275,243328
1988,Vermont,new alliance,205,243328
1988,Vermont,populist,189,243328
1988,Vermont,peace & freedom,164,243328
1988,Vermont,liberty union party,142,243328
1988,Vermont,socialist workers,113,243328
1988,Virginia,republican,1309162,2191609
1988,Virginia,democrat,859799,2191609
1988,Virginia,independent,14312,2191609
1988,Virginia,libertarian,8336,2191609
1988,Washington,democrat,933516,1865253
1988,Washington,republican,903835,1865253
1988,Washington,libertarian,17240,1865253
1988,Washington,independent,4412,1865253
1988,Washington,new alliance,3520,1865253
1988,Washington,workers world,1440,1865253
1988,Washington,socialist workers,1290,1865253
1988,West Virginia,democrat,341016,653311
1988,West Virginia,republican,310065,653311
1988,West Virginia,new alliance,2230,653311
1988,Wisconsin,democrat,1126794,2191608
1988,Wisconsin,republican,1047499,2191608
1988,Wisconsin,independent,15042,2191608
1988,Wisconsin,,2273,2191608
1988,Wyoming,republican,106867,176551
1988,Wyoming,democrat,67113,176551
1988,Wyoming,libertarian,2026,176551
1988,Wyoming,new alliance,545,176551
1992,Alabama,republican,804283,1688060
1992,Alabama,democrat,690080,1688060
1992,Alabama,independent,183109,1688060
1992,Alabama,libertarian,5737,1688060
1992,Alabama,independent,4128,1688060
1992,Alabama,,723,1688060
1992,Alaska,republican,102000,258506
1992,Alaska,democrat,78294,258506
1992,Alaska,independent,73481,258506
1992,Alaska,america first,1379,258506
1992,Alaska,libertarian,1378,258506
1992,Alaska,independents for economic recovery,469,258506
1992,Alaska,natural law,433,258506
1992,Alaska,taxpayers party,377,258506
1992,Alaska,,365,258506
1992,Alaska,new alliance,330,258506
1992,Arizona,republican,572086,1486975
1992,Arizona,democrat,543050,1486975
1992,Arizona,independent,353741,1486975
1992,Arizona,independent,8141,1486975
1992,Arizona,libertarian,6759,1486975
1992,Arizona,natural law,2267,1486975
1992,Arizona,new alliance,923,1486975
1992,Arizona,,8,1486975
1992,Arkansas,democrat,505823,950653
1992,Arkansas,republican,337324,950653
1992,Arkansas,independent,99132,950653
1992,Arkansas,independent,8374,950653
1992,California,democrat,5121325,11131721
1992,California,republican,3630574,11131721
1992,California,independent,2296006,11131721
1992,California,libertarian,48139,11131721
1992,California,peace & freedom,18597,11131721
1992,California,american independent party,12711,11131721
1992,California,,4369,11131721
1992,Colorado,democrat,629681,1569180
1992,Colorado,republican,562850,1569180
1992,Colorado,independent,366010,1569180
1992,Colorado,libertarian,8669,1569180
1992,Colorado,new alliance,1608,1569180
1992,Colorado,democrat/republican,274,1569180
1992,Colorado,natural law,47,1569180
1992,Colorado,prohibition,21,1569180
1992,Colorado,unaffiliated,20,1569180
1992,Connecticut,democrat,682318,1616156
1992,Connecticut,republican,578313,1616156
1992,Connecticut,independent,348771,1616156
1992,Connecticut,libertarian,5391,1616156
1992,Connecticut,new alliance,1363,1616156
1992,Delaware,democrat,126054,289620
1992,Delaware,republican,102313,289620
1992,Delaware,independent,59213,289620
1992,Delaware,new alliance,1105,289620
1992,Delaware,libertarian,935,289620
1992,District of Columbia,democrat,192619,227572
1992,District of Columbia,republican,20698,227572
1992,District of Columbia,independent,9681,227572
1992,District of Columbia,new alliance,1459,227572
1992,District of Columbia,independent,1446,227572
1992,District of Columbia,,676,227572
1992,District of Columbia,libertarian,467,227572
1992,District of Columbia,natural law,230,227572
1992,District of Columbia,socialist,191,227572
1992,District of Columbia,socialist workers,105,227572
1992,Florida,republican,2173310,5313392
1992,Florida,democrat,2071698,5313392
1992,Florida,independent,1053067,5313392
1992,Florida,libertarian,15079,5313392
1992,Florida,,238,5313392
1992,Georgia,democrat,1008966,2321133
1992,Georgia,republican,995252,2321133
1992,Georgia,independent,309657,2321133
1992,Georgia,libertarian,7110,2321133
1992,Georgia,,148,2321133
1992,Hawaii,democrat,179310,372842
1992,Hawaii,republican,136822,372842
1992,Hawaii,independent,53003,372842
1992,Hawaii,independent,1452,372842
1992,Hawaii,libertarian,1119,372842
1992,Hawaii,new alliance,720,372842
1992,Hawaii,natural law,416,372842
1992,Idaho,republican,202645,482114
1992,Idaho,democrat,137013,482114
1992,Idaho,independent,130395,482114
1992,Idaho,independent,10894,482114
1992,Idaho,libertarian,1167,482114
1992,Illinois,democrat,2453350,5050157
1992,Illinois,republican,1734096,5050157
1992,Illinois,independent,840515,5050157
1992,Illinois,libertarian,9218,5050157
1992,Illinois,new alliance,5267,5050157
1992,Illinois,populist,3577,5050157
1992,Illinois,natural law,2751,5050157
1992,Illinois,socialist workers,1361,5050157
1992,Illinois,,22,5050157
1992,Indiana,republican,989375,2305871
1992,Indiana,democrat,848420,2305871
1992,Indiana,independent,455934,2305871
1992,Indiana,libertarian,7936,2305871
1992,Indiana,new alliance,2583,2305871
1992,Indiana,,1623,2305871
1992,Iowa,democrat,586353,1354607
1992,Iowa,republican,504891,1354607
1992,Iowa,independent,253468,1354607
1992,Iowa,natural law,3079,1354607
1992,Iowa,,1753,1354607
1992,Iowa,america first,1177,1354607
1992,Iowa,libertarian,1076,1354607
1992,Iowa,,741,1354607
1992,Iowa,grassroots,669,1354607
1992,Iowa,taxpayers party,480,1354607
1992,Iowa,socialist workers,273,1354607
1992,Iowa,independents for economic recovery,238,1354607
1992,Iowa,campaign for a new tomorrow,212,1354607
1992,Iowa,new alliance,197,1354607
1992,Kansas,republican,449951,1157236
1992,Kansas,democrat,390434,1157236
1992,Kansas,independent,312358,1157236
1992,Kansas,libertarian,4314,1157236
1992,Kansas,,179,1157236
1992,Kentucky,democrat,665104,1492900
1992,Kentucky,republican,617178,1492900
1992,Kentucky,independent,203944,1492900
1992,Kentucky,libertarian,4513,1492900
1992,Kentucky,taxpayers party,989,1492900
1992,Kentucky,natural law,695,1492900
1992,Kentucky,new alliance,430,1492900
1992,Kentucky,,47,1492900
1992,Louisiana,democrat,815971,1790017
1992,Louisiana,republican,733386,1790017
1992,Louisiana,independent,211478,1790017
1992,Louisiana,america first,18545,1790017
1992,Louisiana,libertarian,3155,1790017
1992,Louisiana,equal justice and opportunity,1663,1790017
1992,Louisiana,taxpayers party,1552,1790017
1992,Louisiana,more perfect democracy,1434,1790017
1992,Louisiana,"justice, industry, and agriculture",1136,1790017
1992,Louisiana,natural law,889,1790017
1992,Louisiana,independent,808,1790017
1992,Maine,democrat,263420,679499
1992,Maine,independent,206820,679499
1992,Maine,republican,206504,679499
1992,Maine,libertarian,1681,679499
1992,Maine,new alliance,519,679499
1992,Maine,taxpayers party,464,679499
1992,Maine,,91,679499
1992,Maryland,democrat,988571,1984580
1992,Maryland,republican,707094,1984580
1992,Maryland,independent,281414,1984580
1992,Maryland,libertarian,4715,1984580
1992,Maryland,new alliance,2786,1984580
1992,Massachusetts,democrat,1318639,2773664
1992,Massachusetts,republican,805039,2773664
1992,Massachusetts,independent,630731,2773664
1992,Massachusetts,libertarian,9021,2773664
1992,Massachusetts,new alliance,3172,2773664
1992,Massachusetts,independent voters,2218,2773664
1992,Massachusetts,,1990,2773664
1992,Massachusetts,natural law,1812,2773664
1992,Massachusetts,larouche for president party,1027,2773664
1992,Massachusetts,socialist party usa,13,2773664
1992,Massachusetts,prohibition,2,2773664
1992,Michigan,democrat,1871182,4274673
1992,Michigan,republican,1554940,4274673
1992,Michigan,independent,824813,4274673
1992,Michigan,libertarian,10175,4274673
1992,Michigan,tisch independent citizens,8263,4274673
1992,Michigan,natural law,2954,4274673
1992,Michigan,workers world,1432,4274673
1992,Michigan,,914,4274673
1992,Minnesota,democrat,1020997,2347948
1992,Minnesota,republican,747841,2347948
1992,Minnesota,independent,562506,2347948
1992,Minnesota,libertarian,3374,2347948
